,id_agence,nom_agence,addresse,telephone
30,8c717280-c845-4288-9b31-09e58227992b,LALLA ZAHRA,"MIFTAH EL KHEIR - Bd, Fkih Haskouri route Had Hrara Safi",212511097948
31,967e1f4c-da33-4cd1-bf6f-db7f35da2891,OUMI RABII,BEN AHMED - BOULEVARD MOULAY ABDELLAH,212532435115
32,b3669ccc-9b5f-4e44-a5e7-04a4df5b5f53,NASSIM,BIR ANZARANE - Avenue Bir anzarane lotissement zone dactivite economique tranche 1 lot Ndeg68 Youssou,212552829216
33,87ffb43b-2c42-4ba0-b108-b3ea2c72f411,JAWHARA,"OULAD SAID - Lotissement El Kheir, Lot ndeg 36 - Oulad Said Centre - Route secondaire ndeg105 - Province de Settat",212531175754
34,3f160d20-f40f-4b18-a1d6-cc4f2fc47986,OULAD TEIMA,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",212562485820
35,d7e5c186-f7c7-471e-bd5f-df50b7457b43,ZAGORA,LIBERTE - AVENUE DE LA LIBERTE,212575522554
36,9668554e-737c-4db9-adc8-20afe3089ade,LIGUE ARABE,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",212502163318
37,db4753c1-f88e-4d87-bb93-12061352d78d,RBAT,BEN AHMED - BOULEVARD MOULAY ABDELLAH,212548398724
38,081453db-ce2f-446f-9516-a3885a2e74e5,ZAOUIA,MOHAMED V - PLACE MED V V N BP: 175,212564459848
39,48948165-837a-46d5-8f46-fcddc1384f70,TINGHIR,BIADA - Rue Atlas Quartier BIADA,212574622180
40,57b8be04-b592-44ce-8fab-71666e3fdcf0,BOUCHRIT,OULAD TEIMA - OULAD TEIMA CENTRE,212505223069
41,bbe4595c-0f77-456e-8e18-8dffc475d7ce,LIBERTE,SEBT GZOULA - ROUTE KHEMIS NGA SEBT GZOULA,212594220860
42,4bb9c01a-7d9a-4f63-a99f-0c66f6b530fb,TISSIR,"NASSIM - Bd, El Alaouiyines, 33 lot Nassim III El Jadida",212565724019
43,a9d7febc-bf46-4d09-b349-308cbab64d61,TAZNAKHT,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii ndeg 31 et 32",212526545081
44,9572bc77-e381-435a-b3f6-42d4deaaedcb,HASSAN 1er,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,212529395802
45,df5f7145-5602-4644-acd0-74bafed5e0d2,OUMI RABII,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,212583081432
46,2f29c203-aada-4b70-bf78-a41a7c37f718,HASSAN 1er,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,212518326638
47,53c6ea1a-fd19-45f2-8f24-9734fc8692d0,OULAD TEIMA,"ZAOUIA - Quartier sidi Ouassel, Safi 46000",212561953565
48,60dc9c29-94ba-4fca-a35e-d476d7312bbd,LALLA ZAHRA,"OULAD SAID - Lotissement El Kheir, Lot ndeg 36 - Oulad Said Centre - Route secondaire ndeg105 - Province de Settat",212541169635
49,b222ce3f-d1de-4a7c-88f7-d2e0f093a35b,IBN BATTOUTA,"MOULAY DRISS 1er - 26, boulevard Kennedy, Safi",212536763783
