,id,produit,type,conditions,avantages
25,26,Credit Baux Commerciaux,Credit,"Financement de locaux commerciaux, loyer adapte a lactivite.",Possibilite de renegociation du bail
26,27,Compte de Gestion,Compte,Permet de separer les fonds de lentreprise et les revenus personnels.,Facilite la gestion comptable et fiscale
27,28,Assurance Individuelle Accidents,Assurance,Couverture en cas de deces ou invalidite suite a un accident.,Versement dun capital a la victime ou a ses ayant droits
28,29,Credit Tresorerie,Credit,"Financement ponctuel pour couvrir les besoins de tresorerie, taux competitif.",Souplesse dans la gestion des flux financiers
29,30,Assurance Credit,Assurance,"Protege contre le risque dinsolvabilite des clients, indemnisation en cas de non-paiement.",Garantit la continuite de lactivite
30,31,Credit Achat Vehicule,Credit,Financement pour lacquisition de vehicules neufs ou doccasion.,Facilite dans la procedure dachat
31,32,Carte Gold,Carte,"Frais annuel de 500 DH, plafond de paiement eleve, assurances voyage incluses.",Acces a des services premium
32,33,Assurance Protection Juridique,Assurance,Acces a des services juridiques en cas de litige.,Conseils et defense par des specialistes
33,34,Credit Energie Renouvelable,Credit,"Financement pour linstallation de panneaux solaires ou eoliennes, taux bonifie.",Reduction de la facture energetique a long terme
34,35,Assurance Multirisque Habitation,Assurance,"Protege lhabitation contre les dommages materiels, vol et responsabilite civile.",Assistance en cas durgence 24h/24
35,36,Compte a Terme,Compte,"Blocage des fonds sur une duree determinee, taux dinteret attractif.",Remuneration garantie a lecheance
36,37,Pret Industries Creatives,Credit,"Financement pour les professions artistiques et creatives, modalites adaptees.",Appui a linnovation et a la creativite
37,38,Assurance Risques Industriels,Assurance,"Couverture des pertes dexploitation, dommages materiels et responsabilite civile.",Inspection des risques et prevention professionnelle
38,39,Credit Agriculture Responsable,Credit,"Financement pour lagriculture biologique et durable, taux preferentiel.",Encouragement des pratiques respectueuses de lenvironnement
39,40,Assurance Chomage,Assurance,Prestation en cas de perte de lemploi involontaire.,Maintien du niveau de vie temporaire
40,41,Credit Developpement Durable,Credit,"Financement pour des projets respectueux de lenvironnement, conditions adaptees.",Participation a la preservation de la planete
41,42,Carte Jeune,Carte,"Reservee aux moins de 30 ans, plafond de paiement mensuel de 5 000 DH.",Offres exclusives et remises chez les partenaires
42,43,Assurance Credit Export,Assurance,"Assure contre le risque de non-paiement a lexport, couverture des factures impayees.",Securisation des transactions internationales
43,44,Credit Formation Professionnelle,Credit,"Financement pour la formation continue des salaries, modalites adaptees.",Investissement dans le capital humain de lentreprise
44,45,Assurance Collectivites Locales,Assurance,"Couverture des biens publics, responsabilite civile et risques statutaires.",Expertise dans la gestion des risques des collectivites
45,46,Carte Etudiant,Carte,"Reservee aux etudiants, plafond de paiement mensuel de 3 000 DH.",Facilite dans la gestion du budget etudiant
46,47,Assurance Transporteurs,Assurance,Couverture des marchandises transportees et responsabilite civile professionnelle.,Assistance en cas dincident routier
47,48,Credit Launchpad Startups,Credit,"Financement pour les startups en phase de lancement, accompagnement financier.",Catalyseur pour les projets entrepreneuriaux
48,49,Assurance Responsabilite Civile Entreprise,Assurance,Protege contre les dommages causes a autrui dans le cadre professionnel.,Indemnisation des tiers leses
49,50,Compte Epargne Senior,Compte,"Reserve aux plus de 60 ans, taux dinteret bonifie.",Offre adaptee aux besoins des seniors
