,id_transaction,id_compte,type,date_creation,montant
28,3bb3fcaf-89c0-4d09-a9d8-852f36ca9875,f4091277-401a-4046-bc84-71b95fedb49d,Depot,251122,6719
29,5e98b696-4caa-4d6a-bd77-e748212be4d4,f6fbf13d-5561-4de8-a383-bae49d02a9f0,Retrait,290922,6500
30,ffd45bfa-fc12-4f12-b8ec-0181d95f43c0,08673c3c-f4b9-44f4-9dde-e12b4062a1e7,Retrait,30822,6298
31,b2a0338c-c865-4066-867b-03e16a0cb710,e5e6c054-0f93-45c0-82df-850dba823f0b,Retrait,291022,1267
32,9943f2a4-4b75-4df7-a3d1-592599685c0e,de7338c4-be4a-4ea5-a27b-873f3f891943,Depot,311220,2403
33,5560de7d-8290-4bdc-9a27-cb4121500c54,418af970-af4b-468b-aeae-5f52a7916c24,Retrait,131020,8269
34,165cc19d-ccfe-4fc4-85c9-27d3f3d6c928,7841f7dd-df8d-4028-bd82-f4c7a9f9862e,Depot,221021,123
35,bde58e8f-5557-4746-acb6-63845b745687,f2759bfd-0cf2-493f-935a-5a4a5759f636,Retrait,30721,2443
36,1d5f2894-f5e1-4bd1-8d85-58f09de7b88b,d28c635f-17a4-4ddd-a967-33ef54b72ff0,Depot,240223,6714
37,77143c94-08e5-4593-858f-88da6f2ac294,3b078005-fe4e-42a9-bb14-5a52797f1bea,Retrait,211222,4693
38,bf94ccbf-d8aa-4056-8502-890e7d68c607,b116808b-716c-49e8-bf0a-256cbbcc4d68,Retrait,100521,9379
39,b76c5bfe-583f-43d2-9f66-b34a60a0823e,c5b920ea-bb27-4341-8f87-636d1db67489,Retrait,91221,5506
40,bf93b814-831e-4316-bfa0-cb355b78d0e1,8f28aed8-8255-4881-81c1-a6f9d0e923ce,Depot,170522,6036
41,27b7c356-4213-4d8f-b8ff-9b7fa34d875c,6948644a-65ec-466f-ad96-873f13914397,Retrait,271123,2595
42,c13a89a0-5557-4d1f-a51e-1f30245fc9c5,38005ccc-cc8d-49c8-b4ed-57cf895278d6,Retrait,270720,1808
43,cdde7d97-11ec-4392-8c36-29923b6bbba1,6a60bb4b-27c7-45b4-9604-9dbf57e69cbf,Depot,290124,1843
44,6f40aa97-b046-46a4-8349-417ee62fa69d,481869d3-8fdd-4fc8-8d5e-3394fcb6828a,Depot,161221,3069
45,861700e4-8aba-4bc3-8112-56d8d4e76e58,8c5904bd-f454-492d-a7f9-53aafbc42d90,Depot,71220,9110
46,88b9b73b-02e3-4b19-bda8-90d373000c71,03805b4e-609d-44e4-8556-c9110d20bf3d,Depot,270622,6459
47,67e1c878-92eb-4ecb-924e-7bb5f2437a68,8e83fcbd-63c7-4566-b507-93a45e168c46,Retrait,100122,7330
48,2ef1cb0d-78f0-4988-8bf6-7d350b72cabd,969e5877-630c-49b6-8a2d-8bf603c2cd81,Depot,200520,5767
49,26d1d8e3-6c4c-44f6-8c53-5c1e9fdd67ed,712b7bfd-b48b-402a-a3b0-f6dc8ec891ee,Depot,170224,4451
