,id_compte,id_client,type,solde,date_creation
37,6eda0669-e7df-4de3-b5e1-865a9cd20679,a6b9b675-5036-42a6-9028-b373b7cec0bd,Compte epargne,70,2021-07-16
38,add8e4d6-d4bd-4fe6-bcd2-97f4a094ee9a,f7807136-5575-4a1e-9968-720d68fc29f0,Compte joint,3942,2022-09-17
39,0a5e547c-b884-4bcb-adbe-b60ae82a7125,eac4115c-a055-416c-9abf-c404bbbc5103,Compte a terme,1360,2022-07-09
40,a13170c1-64e8-4ba6-be59-52d8b338cc5a,014cfac0-0f0c-4e72-b465-676a025c2b51,Compte de depot a vue,7293,2022-05-18
41,6f3c556c-ba54-4137-b31b-d84100ff8765,35b4b59b-bca9-4007-9cd4-de9d1d13994f,Compte a terme,47,2023-08-12
42,63861fa1-bb9c-426f-bf62-a330f2668638,2e41b97e-fad9-4c27-b36f-52633f3c7729,Compte joint,2464,2023-10-16
43,5d58b912-ddbd-4e3c-80f1-692590709a0b,e62791de-4c83-47fc-8a7a-a8f13b46bb5c,Compte joint,5756,2021-11-14
44,d4bb6b4d-ae34-446d-b073-d36fde31179a,60cff415-76f8-4756-b9f1-cdb36e73ea50,Compte joint,6573,2021-07-06
45,ddeb3d7f-af77-475a-8008-d088971ab3f2,30d7d07e-baeb-469c-9b79-8a635963b80f,Compte epargne,3291,2020-05-24
46,a25f664f-7fe4-4b1e-8389-0d81df03388a,d7feacf2-2fd3-46ba-8259-9048befab878,Compte cheques,5207,2021-01-16
47,3bce9fc2-ac17-456f-9cfa-78bd317e8b6f,3159c16f-1d96-46d5-8caf-fdf28e75d4c7,Compte epargne,3529,2022-09-21
48,4ed29957-85eb-4f50-849e-3cccb693131b,26d5f9c9-dacc-4229-ab59-4356eb7f3f14,Compte courant,9223,2023-08-09
49,79a6d3de-4b57-4461-b5e2-b6ebda594a9c,a3e118f1-bd95-4289-baa3-0a4dbbaceabd,Compte a terme,9336,2021-01-23
